epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,2296.68,0.34592,1.04582,1.00962,0.54323,0.5125,0.56182,0.54229,0.34412,1.30748,0.4198,0.000296964,0.000296964,0.000296964
67,2332.9,0.3594,1.05683,1.02315,0.44232,0.64639,0.56536,0.55593,0.25865,1.39708,0.35602,0.000288718,0.000288718,0.000288718
68,2367.33,0.34269,1.05936,1.00634,0.56038,0.52593,0.59367,0.57187,0.2896,1.23061,0.36833,0.000280471,0.000280471,0.000280471
69,2399.62,0.33165,1.04127,1.00165,0.54063,0.63477,0.66636,0.65295,0.24402,1.04336,0.32882,0.000272224,0.000272224,0.000272224
70,2430.13,0.3346,1.03294,0.9943,0.51108,0.6125,0.59921,0.59112,0.26237,1.20641,0.33372,0.000263978,0.000263978,0.000263978
71,2459.23,0.334,1.03612,0.99714,0.498,0.64196,0.5767,0.565,0.27314,1.20751,0.36709,0.000255731,0.000255731,0.000255731
72,2489.2,0.32798,1.04019,0.99577,0.42887,0.68136,0.56027,0.55653,0.18504,1.24899,0.296,0.000247484,0.000247484,0.000247484
73,2520.9,0.32329,1.02138,0.98642,0.403,0.6845,0.57372,0.57035,0.19924,1.22013,0.30802,0.000239238,0.000239238,0.000239238
74,2555.75,0.33234,1.01367,0.99991,0.52874,0.6162,0.58021,0.5796,0.18586,1.36769,0.28855,0.000230991,0.000230991,0.000230991
75,2584.77,0.30995,0.99624,0.9857,0.52362,0.70066,0.6413,0.63568,0.21202,1.06862,0.31345,0.000222744,0.000222744,0.000222744
76,2619.09,0.31277,0.99139,0.98994,0.5069,0.68717,0.58524,0.58327,0.17902,1.2293,0.29081,0.000214497,0.000214497,0.000214497
77,2648.47,0.32907,0.97731,1.00406,0.46241,0.76009,0.58834,0.58365,0.1959,1.23645,0.30062,0.000206251,0.000206251,0.000206251
78,2677.82,0.30263,0.97089,0.98118,0.65535,0.51814,0.61128,0.60929,0.2062,1.22191,0.30212,0.000198004,0.000198004,0.000198004
79,2708.56,0.32801,0.99446,1.00696,0.47706,0.67249,0.60426,0.60211,0.18308,1.2244,0.26267,0.000189757,0.000189757,0.000189757
80,2737.96,0.31042,0.99691,0.99036,0.6844,0.54003,0.62072,0.61815,0.20351,1.09905,0.2891,0.000181511,0.000181511,0.000181511
81,2768.07,0.30699,0.93972,0.98949,0.55273,0.68019,0.65575,0.65092,0.16841,1.11387,0.27687,0.000173264,0.000173264,0.000173264
82,2797.36,0.313,0.95737,0.99139,0.55661,0.59053,0.60387,0.59893,0.18803,1.20226,0.28759,0.000165017,0.000165017,0.000165017
83,2826.64,0.29798,0.91524,0.9883,0.46583,0.675,0.58718,0.5823,0.17485,1.26109,0.28636,0.000156771,0.000156771,0.000156771
84,2863.03,0.29898,0.93365,0.98055,0.56843,0.58891,0.59542,0.59251,0.19982,1.30535,0.29525,0.000148524,0.000148524,0.000148524
85,2915.89,0.30372,0.93828,0.98949,0.53347,0.60491,0.62215,0.61614,0.18802,1.26792,0.31466,0.000140277,0.000140277,0.000140277
86,2949.66,0.29568,0.91491,0.98397,0.52441,0.59853,0.62452,0.62384,0.16234,1.14994,0.2618,0.000132031,0.000132031,0.000132031
87,2983.26,0.29492,0.89457,0.9856,0.51607,0.5929,0.6,0.59746,0.18303,1.24007,0.27821,0.000123784,0.000123784,0.000123784
88,3018.56,0.28092,0.89065,0.97196,0.52016,0.61843,0.60748,0.6042,0.19075,1.18749,0.28047,0.000115537,0.000115537,0.000115537
89,3053.51,0.28138,0.83359,0.97612,0.56024,0.64078,0.66741,0.66427,0.19519,1.08433,0.26865,0.00010729,0.00010729,0.00010729
90,3089.16,0.28729,0.86836,0.9786,0.53489,0.68239,0.64267,0.63897,0.1728,1.21943,0.2638,9.90437e-05,9.90437e-05,9.90437e-05
91,3120.42,0.40039,0.82539,1.18085,0.62889,0.6,0.6166,0.6139,0.1732,1.16036,0.26307,9.0797e-05,9.0797e-05,9.0797e-05
92,3155.78,0.34049,0.66893,1.12562,0.51725,0.73418,0.62639,0.6213,0.21388,1.07489,0.28541,8.25503e-05,8.25503e-05,8.25503e-05
93,3190.67,0.3305,0.66849,1.10766,0.5821,0.60696,0.60725,0.60312,0.17681,1.22722,0.26523,7.43036e-05,7.43036e-05,7.43036e-05
94,3224.92,0.32919,0.63284,1.11746,0.57967,0.6188,0.63794,0.63168,0.18126,1.15681,0.26449,6.60569e-05,6.60569e-05,6.60569e-05
95,3254.28,0.3284,0.60829,1.10906,0.5069,0.62889,0.62076,0.61388,0.1852,1.16616,0.25954,5.78102e-05,5.78102e-05,5.78102e-05
96,3303.53,0.31618,0.58925,1.10673,0.66691,0.59518,0.63599,0.63439,0.16427,1.17453,0.24356,4.95635e-05,4.95635e-05,4.95635e-05
97,3349.19,0.30868,0.58492,1.08807,0.54159,0.59709,0.6508,0.64783,0.16586,1.18401,0.24009,4.13168e-05,4.13168e-05,4.13168e-05
98,3383.02,0.32792,0.56965,1.12802,0.58424,0.58596,0.63437,0.63194,0.15026,1.194,0.22815,3.30701e-05,3.30701e-05,3.30701e-05
99,3417.97,0.2927,0.53903,1.0745,0.56228,0.58662,0.61471,0.61323,0.15797,1.25904,0.23029,2.48234e-05,2.48234e-05,2.48234e-05
100,3450.44,0.31327,0.58278,1.09623,0.55925,0.58235,0.61447,0.61178,0.15033,1.23843,0.22641,1.65767e-05,1.65767e-05,1.65767e-05
