epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,1379.6,0.33848,0.83326,1.002,0.56267,0.57275,0.58949,0.58029,0.23049,1.3416,0.33695,0.000280471,0.000280471,0.000280471
69,1399.07,0.32249,0.79386,0.99652,0.55972,0.6023,0.59405,0.59006,0.20601,1.40317,0.33219,0.000272224,0.000272224,0.000272224
70,1419.65,0.32985,0.79897,0.99039,0.47873,0.64876,0.58539,0.5812,0.20476,1.45263,0.32587,0.000263978,0.000263978,0.000263978
71,1439.35,0.33653,0.77409,0.99971,0.56422,0.55658,0.59108,0.58699,0.18366,1.3239,0.33762,0.000255731,0.000255731,0.000255731
72,1459.61,0.31578,0.75154,0.98613,0.43707,0.7,0.54645,0.54032,0.18468,1.45276,0.34003,0.000247484,0.000247484,0.000247484
73,1479.44,0.32587,0.79073,0.9833,0.54965,0.67627,0.61132,0.60878,0.20632,1.30556,0.32351,0.000239238,0.000239238,0.000239238
74,1500.08,0.32869,0.79816,0.99643,0.54188,0.60857,0.60295,0.5954,0.19898,1.27045,0.33772,0.000230991,0.000230991,0.000230991
75,1519.37,0.30873,0.74352,0.98566,0.49764,0.59694,0.59779,0.59066,0.22386,1.3024,0.37778,0.000222744,0.000222744,0.000222744
76,1540.09,0.30812,0.72784,0.98597,0.5049,0.58058,0.58941,0.58489,0.20731,1.38409,0.35035,0.000214497,0.000214497,0.000214497
77,1559.18,0.32706,0.71419,1.00078,0.54858,0.56802,0.57936,0.57224,0.22554,1.4083,0.36994,0.000206251,0.000206251,0.000206251
78,1579.55,0.30098,0.72906,0.97699,0.41652,0.65431,0.58228,0.57876,0.22404,1.50658,0.35288,0.000198004,0.000198004,0.000198004
79,1599.79,0.33193,0.7668,1.00705,0.44357,0.65663,0.57032,0.5661,0.20157,1.5945,0.32206,0.000189757,0.000189757,0.000189757
80,1620.19,0.31194,0.74407,0.98939,0.49142,0.68191,0.58928,0.58463,0.20039,1.32645,0.32307,0.000181511,0.000181511,0.000181511
81,1640.4,0.30611,0.7052,0.98697,0.57184,0.62589,0.61117,0.60588,0.19207,1.28358,0.32301,0.000173264,0.000173264,0.000173264
82,1660.15,0.31266,0.70009,0.99082,0.55271,0.59886,0.60311,0.59686,0.18533,1.31537,0.30977,0.000165017,0.000165017,0.000165017
83,1681.13,0.29936,0.68651,0.98451,0.51749,0.60687,0.58299,0.57801,0.19849,1.48358,0.32128,0.000156771,0.000156771,0.000156771
84,1700.65,0.29543,0.68312,0.9791,0.52444,0.65551,0.61485,0.60587,0.23144,1.34522,0.31907,0.000148524,0.000148524,0.000148524
